value,frequency
-5,1
-2,12
-1,85
0,27847
1,32839
2,16677
3,8233
4,4108
5,2292
6,1212
7,703
8,439
9,270
10,200
11,116
12,97
13,66
14,50
15,39
16,27
17,30
18,18
19,19
20,17
21,11
22,7
23,17
24,12
25,10
26,7
27,5
28,11
29,4
30,4
31,7
32,8
33,5
34,7
35,2
36,4
37,1
38,8
39,1
40,1
42,3
43,2
44,2
45,3
46,2
47,4
49,2
50,3
51,1
52,1
53,2
54,1
55,1
56,1
57,3
58,2
60,2
61,3
62,2
65,1
66,1
67,2
70,1
71,2
72,1
73,2
75,2
77,3
78,1
81,2
88,2
89,1
101,1
102,1
103,1
105,2
106,1
109,1
111,2
113,1
123,1
133,1
136,1
137,1
144,1
149,1
152,1
157,1
159,1
162,1
179,1
224,1
291,1
315,1
395,1
557,1
2258,1
