value,frequency
0,74780
2,8
3,3
4,8
5,31
6,56
7,95
8,143
9,91
10,239
11,248
12,383
13,73
14,615
15,107
16,78
17,983
18,263
19,179
20,1470
21,160
22,429
23,249
24,167
25,2630
26,186
27,467
28,211
29,1290
30,471
31,351
32,357
33,2247
34,235
35,395
36,681
37,246
38,1349
39,485
40,2666
41,592
42,897
43,1758
44,1443
45,1026
46,609
47,981
48,599
49,438
50,7529
51,352
52,795
53,1238
54,1174
55,1498
56,2332
57,2669
58,1752
59,1400
60,4239
61,872
62,3117
63,1049
64,1967
65,1524
66,1366
67,5147
68,1412
69,1681
70,2163
71,3440
72,1539
73,2009
74,1372
75,6172
76,1588
77,1611
78,2345
79,1827
80,4781
81,1719
82,2064
83,3845
84,1375
85,1757
86,3057
87,1125
88,2834
89,2139
90,1613
91,1463
92,1657
93,1700
94,1177
95,954
96,671
97,560
98,546
99,177
100,10081
