value,frequency
0,85571
2,1
4,7
5,7
6,27
7,12
8,7
9,26
10,55
11,52
12,52
13,1
14,232
15,146
16,9
17,266
18,79
19,18
20,561
21,183
22,110
23,38
24,26
25,877
26,25
27,135
28,46
29,401
30,124
31,91
32,129
33,924
34,25
35,74
36,288
37,120
38,454
39,63
40,1364
41,181
42,248
43,813
44,435
45,388
46,254
47,119
48,189
49,96
50,3574
51,276
52,226
53,700
54,573
55,839
56,1038
57,1213
58,626
59,599
60,3408
61,803
62,1414
63,551
64,695
65,709
66,739
67,3111
68,1103
69,768
70,920
71,2001
72,640
73,1362
74,1058
75,5695
76,1135
77,816
78,1931
79,1751
80,4337
81,1108
82,2305
83,3122
84,736
85,1522
86,4661
87,839
88,1937
89,2190
90,1674
91,1070
92,1333
93,1704
94,1013
95,680
96,1034
97,772
98,513
99,784
100,14519
