value,count,colorValue,tags
android, 34393,3.7128485447620156,[('android': 34393); ('eclipse': 3127); ('xml': 1668); ('android-fragments': 1312); ('json': 1023); ('listview': 931); ('android-layout': 922); ('android-activity': 896); ('sqlite': 859); ('libgdx': 775); ('multithreading': 744); ('arraylist': 484); ('nullpointerexception': 480); ('sockets': 437); ('arrays': 353); ('string': 328); ('php': 321); ('gradle': 276); ('mysql': 261); ('database': 239); ('image': 234); ('c++': 216); ('http': 213); ('javascript': 208); ('web-services': 207); ('google-app-engine': 205); ('maven': 183); ('sql': 181); ('date': 175); ('file': 171); ('class': 169); ('intellij-idea': 168); ('parsing': 158); ('performance': 147); ('exception': 144); ('html': 139); ('encryption': 137); ('jar': 136); ('c#': 123); ('user-interface': 123); ('regex': 113); ('rest': 112); ('ant': 110); ('hashmap': 104); ('ssl': 102); ('junit': 99); ('serialization': 95); ('apache': 86); ('unit-testing': 83); ('list': 80); ('object': 71); ('soap': 63); ('oop': 60); ('methods': 58); ('servlets': 57); ('jackson': 56); ('loops': 49); ('linux': 49); ('spring': 48); ('sorting': 46); ('generics': 44); ('algorithm': 38); ('windows': 35); ('logging': 33); ('tomcat': 32); ('concurrency': 31); ('inheritance': 31); ('jdbc': 30); ('jquery': 25); ('netbeans': 24); ('collections': 24); ('excel': 23); ('swing': 23); ('selenium': 22); ('jvm': 22); ('apache-poi': 18); ('jsp': 18); ('java-ee': 17); ('scala': 14); ('jpa': 13); ('gwt': 11); ('spring-mvc': 10); ('jersey': 9); ('oracle': 9); ('selenium-webdriver': 9); ('mongodb': 9); ('javafx': 9); ('jaxb': 6); ('java-8': 6); ('applet': 6); ('spring-security': 4); ('jboss': 4); ('hibernate': 3); ('jsf': 2); ('swt': 1); ('jframe': 1); ('hadoop': 1)]
spring, 11877,4.030226488170413,[('spring': 11877); ('spring-mvc': 2994); ('hibernate': 1820); ('spring-security': 839); ('maven': 669); ('jpa': 646); ('jsp': 546); ('tomcat': 422); ('rest': 373); ('xml': 310); ('java-ee': 284); ('json': 278); ('eclipse': 263); ('mysql': 236); ('web-services': 228); ('junit': 210); ('servlets': 206); ('mongodb': 180); ('jdbc': 138); ('jackson': 121); ('sql': 116); ('unit-testing': 103); ('javascript': 101); ('jsf': 98); ('multithreading': 98); ('oracle': 92); ('jboss': 89); ('jquery': 84); ('soap': 77); ('intellij-idea': 73); ('jersey': 59); ('gradle': 59); ('logging': 59); ('database': 58); ('struts2': 54); ('jaxb': 53); ('android': 48); ('generics': 46); ('html': 44); ('apache': 40); ('google-app-engine': 39); ('exception': 38); ('jar': 37); ('http': 32); ('serialization': 27); ('concurrency': 24); ('hadoop': 24); ('gwt': 23); ('performance': 23); ('nullpointerexception': 21); ('scala': 19); ('java-8': 19); ('swing': 19); ('ssl': 18); ('sockets': 14); ('netbeans': 14); ('javafx': 14); ('excel': 13); ('arrays': 12); ('date': 12); ('inheritance': 12); ('file': 11); ('ant': 11); ('encryption': 11); ('regex': 11); ('linux': 10); ('image': 10); ('jvm': 10); ('list': 9); ('class': 8); ('collections': 8); ('sqlite': 7); ('string': 6); ('arraylist': 6); ('selenium': 6); ('apache-poi': 5); ('oop': 4); ('parsing': 3); ('loops': 3); ('user-interface': 3); ('methods': 3); ('php': 3); ('sorting': 3); ('object': 2); ('selenium-webdriver': 2); ('c#': 2); ('hashmap': 2); ('libgdx': 2); ('c++': 2); ('applet': 2); ('algorithm': 1); ('windows': 1); ('android-activity': 1)]
swing, 11428,3.9320966048302415,[('swing': 11428); ('jframe': 1093); ('jtable': 1078); ('user-interface': 963); ('jpanel': 930); ('netbeans': 391); ('multithreading': 260); ('image': 243); ('eclipse': 210); ('mysql': 150); ('arrays': 132); ('applet': 130); ('nullpointerexception': 120); ('arraylist': 109); ('jdbc': 91); ('javafx': 82); ('html': 81); ('sql': 71); ('string': 61); ('class': 49); ('database': 46); ('oop': 43); ('sockets': 43); ('sorting': 39); ('loops': 38); ('linux': 36); ('exception': 35); ('jar': 34); ('windows': 34); ('file': 33); ('object': 30); ('methods': 28); ('xml': 26); ('concurrency': 26); ('performance': 26); ('date': 26); ('swt': 24); ('hibernate': 24); ('android': 23); ('intellij-idea': 22); ('excel': 22); ('inheritance': 21); ('oracle': 19); ('spring': 19); ('serialization': 18); ('java-8': 18); ('sqlite': 16); ('scala': 15); ('list': 15); ('hashmap': 14); ('apache-poi': 12); ('java-ee': 11); ('regex': 11); ('maven': 10); ('json': 10); ('jvm': 10); ('javascript': 9); ('generics': 8); ('jsp': 7); ('jpa': 7); ('junit': 7); ('parsing': 6); ('algorithm': 6); ('unit-testing': 6); ('libgdx': 6); ('apache': 6); ('servlets': 5); ('web-services': 5); ('c++': 5); ('collections': 5); ('c#': 4); ('selenium': 4); ('rest': 4); ('jaxb': 4); ('google-app-engine': 4); ('spring-mvc': 3); ('selenium-webdriver': 3); ('jquery': 3); ('gwt': 3); ('php': 3); ('encryption': 3); ('gradle': 2); ('ssl': 2); ('mongodb': 2); ('logging': 2); ('listview': 1); ('jsf': 1); ('jboss': 1); ('http': 1); ('soap': 1); ('ant': 1)]
eclipse, 11418,3.9027850761954808,[('eclipse': 11418); ('android': 3127); ('maven': 1065); ('tomcat': 436); ('jar': 399); ('xml': 317); ('spring': 263); ('swing': 210); ('ant': 192); ('swt': 167); ('jsp': 167); ('servlets': 150); ('mysql': 140); ('junit': 139); ('google-app-engine': 136); ('web-services': 135); ('java-ee': 131); ('libgdx': 127); ('hibernate': 121); ('jboss': 116); ('gwt': 115); ('gradle': 113); ('intellij-idea': 94); ('apache': 92); ('linux': 86); ('selenium': 85); ('windows': 81); ('hadoop': 80); ('jdbc': 75); ('nullpointerexception': 73); ('class': 73); ('jpa': 68); ('spring-mvc': 67); ('android-activity': 66); ('user-interface': 66); ('file': 64); ('android-layout': 63); ('json': 62); ('netbeans': 60); ('android-fragments': 60); ('applet': 57); ('javascript': 56); ('listview': 55); ('sqlite': 55); ('jvm': 55); ('arrays': 54); ('exception': 54); ('jsf': 53); ('java-8': 53); ('selenium-webdriver': 47); ('multithreading': 46); ('c++': 45); ('javafx': 44); ('sql': 43); ('html': 42); ('image': 41); ('unit-testing': 40); ('string': 40); ('rest': 38); ('scala': 36); ('database': 36); ('methods': 30); ('oracle': 28); ('parsing': 28); ('soap': 28); ('jframe': 27); ('arraylist': 27); ('logging': 26); ('sockets': 25); ('loops': 23); ('struts2': 22); ('generics': 22); ('jersey': 20); ('excel': 18); ('jaxb': 18); ('regex': 17); ('oop': 15); ('ssl': 14); ('mongodb': 14); ('apache-poi': 13); ('php': 13); ('object': 11); ('c#': 11); ('encryption': 10); ('list': 9); ('jtable': 8); ('hashmap': 8); ('algorithm': 8); ('jpanel': 8); ('serialization': 8); ('sorting': 8); ('http': 8); ('performance': 8); ('jquery': 7); ('date': 7); ('inheritance': 7); ('jackson': 6); ('collections': 5); ('concurrency': 3); ('spring-security': 3)]
hibernate, 7259,3.8692657390825183,[('hibernate': 7259); ('spring': 1820); ('jpa': 1741); ('mysql': 769); ('sql': 569); ('spring-mvc': 451); ('maven': 209); ('oracle': 204); ('database': 192); ('java-ee': 184); ('eclipse': 121); ('jsp': 119); ('jdbc': 117); ('jboss': 106); ('xml': 106); ('tomcat': 98); ('struts2': 78); ('json': 68); ('jsf': 56); ('junit': 55); ('spring-security': 42); ('servlets': 37); ('jackson': 34); ('inheritance': 34); ('multithreading': 33); ('exception': 32); ('date': 29); ('performance': 28); ('rest': 27); ('netbeans': 27); ('gwt': 26); ('swing': 24); ('intellij-idea': 22); ('javafx': 21); ('google-app-engine': 20); ('jersey': 19); ('generics': 19); ('web-services': 18); ('list': 18); ('jaxb': 16); ('collections': 16); ('concurrency': 16); ('mongodb': 15); ('logging': 15); ('unit-testing': 13); ('javascript': 12); ('serialization': 12); ('encryption': 12); ('java-8': 11); ('nullpointerexception': 11); ('sorting': 9); ('apache': 9); ('gradle': 8); ('arraylist': 8); ('ant': 8); ('excel': 7); ('sqlite': 7); ('object': 7); ('jquery': 7); ('scala': 6); ('linux': 6); ('jar': 6); ('hashmap': 5); ('html': 4); ('oop': 4); ('regex': 4); ('jtable': 3); ('string': 3); ('sockets': 3); ('class': 3); ('apache-poi': 3); ('android': 3); ('methods': 2); ('file': 2); ('jvm': 2); ('soap': 1); ('algorithm': 1); ('loops': 1); ('windows': 1); ('arrays': 1); ('jframe': 1); ('image': 1)]
maven, 5649,3.958399716764029,[('maven': 5649); ('eclipse': 1065); ('spring': 669); ('tomcat': 270); ('jar': 248); ('intellij-idea': 232); ('hibernate': 209); ('spring-mvc': 187); ('android': 183); ('netbeans': 135); ('java-ee': 135); ('junit': 128); ('jboss': 127); ('google-app-engine': 112); ('xml': 98); ('jpa': 87); ('gwt': 84); ('ant': 76); ('gradle': 73); ('selenium': 68); ('hadoop': 64); ('jersey': 62); ('apache': 57); ('jsp': 54); ('rest': 53); ('unit-testing': 48); ('web-services': 44); ('jaxb': 42); ('servlets': 41); ('mysql': 39); ('scala': 37); ('jsf': 34); ('logging': 33); ('linux': 31); ('selenium-webdriver': 26); ('json': 25); ('javascript': 22); ('jdbc': 20); ('javafx': 19); ('spring-security': 16); ('mongodb': 15); ('java-8': 13); ('windows': 13); ('struts2': 12); ('soap': 12); ('libgdx': 12); ('exception': 11); ('jvm': 11); ('oracle': 10); ('swing': 10); ('jackson': 9); ('apache-poi': 9); ('ssl': 8); ('applet': 8); ('excel': 7); ('nullpointerexception': 7); ('swt': 6); ('multithreading': 6); ('html': 5); ('sql': 5); ('database': 5); ('regex': 5); ('class': 5); ('c++': 4); ('inheritance': 4); ('encryption': 3); ('sqlite': 3); ('generics': 3); ('date': 2); ('performance': 2); ('http': 2); ('image': 2); ('string': 1); ('arraylist': 1); ('methods': 1); ('c#': 1); ('concurrency': 1); ('parsing': 1); ('collections': 1); ('file': 1); ('oop': 1)]
arrays, 5482,3.5122218168551624,[('arrays': 5482); ('string': 399); ('arraylist': 376); ('android': 353); ('sorting': 285); ('object': 216); ('methods': 199); ('loops': 150); ('algorithm': 134); ('swing': 132); ('list': 128); ('class': 95); ('json': 93); ('nullpointerexception': 82); ('generics': 78); ('file': 72); ('eclipse': 54); ('performance': 46); ('javascript': 44); ('c++': 42); ('collections': 42); ('hashmap': 37); ('oop': 32); ('parsing': 31); ('user-interface': 29); ('regex': 28); ('jsp': 25); ('exception': 24); ('mysql': 23); ('xml': 22); ('servlets': 22); ('multithreading': 20); ('listview': 19); ('netbeans': 19); ('inheritance': 18); ('jpanel': 17); ('jtable': 16); ('java-8': 16); ('libgdx': 16); ('serialization': 15); ('image': 15); ('sql': 14); ('c#': 13); ('spring': 12); ('database': 11); ('sockets': 10); ('mongodb': 10); ('jackson': 10); ('php': 10); ('date': 10); ('javafx': 9); ('jframe': 9); ('web-services': 8); ('excel': 8); ('applet': 8); ('encryption': 8); ('scala': 7); ('jdbc': 7); ('rest': 7); ('junit': 7); ('oracle': 6); ('spring-mvc': 5); ('jquery': 5); ('sqlite': 5); ('java-ee': 5); ('struts2': 4); ('jaxb': 4); ('selenium-webdriver': 4); ('concurrency': 4); ('apache-poi': 3); ('selenium': 3); ('android-fragments': 3); ('intellij-idea': 2); ('unit-testing': 2); ('apache': 2); ('gwt': 2); ('jpa': 2); ('soap': 2); ('windows': 2); ('logging': 2); ('android-activity': 2); ('jvm': 2); ('jersey': 1); ('swt': 1); ('html': 1); ('tomcat': 1); ('http': 1); ('jar': 1); ('hibernate': 1)]
xml, 5342,3.976787719955073,[('xml': 5342); ('android': 1668); ('jaxb': 699); ('eclipse': 317); ('spring': 310); ('parsing': 171); ('web-services': 156); ('android-layout': 138); ('soap': 124); ('spring-mvc': 119); ('json': 117); ('hibernate': 106); ('android-fragments': 101); ('maven': 98); ('servlets': 73); ('listview': 71); ('jsp': 65); ('rest': 56); ('html': 51); ('ant': 51); ('tomcat': 46); ('string': 41); ('mysql': 38); ('android-activity': 36); ('serialization': 33); ('jackson': 32); ('java-ee': 32); ('jboss': 31); ('regex': 30); ('struts2': 28); ('jpa': 26); ('swing': 26); ('javascript': 24); ('netbeans': 23); ('user-interface': 23); ('apache': 23); ('arrays': 22); ('spring-security': 22); ('gwt': 21); ('file': 21); ('jersey': 20); ('sql': 20); ('nullpointerexception': 17); ('arraylist': 17); ('selenium': 16); ('jar': 16); ('jdbc': 15); ('list': 15); ('sqlite': 15); ('http': 14); ('logging': 14); ('junit': 14); ('oracle': 13); ('date': 13); ('libgdx': 12); ('php': 12); ('gradle': 11); ('hadoop': 11); ('c#': 10); ('intellij-idea': 10); ('exception': 10); ('encryption': 10); ('google-app-engine': 10); ('sockets': 9); ('jsf': 9); ('javafx': 9); ('object': 8); ('scala': 8); ('excel': 8); ('performance': 8); ('c++': 7); ('database': 7); ('image': 7); ('inheritance': 7); ('selenium-webdriver': 6); ('jquery': 6); ('mongodb': 6); ('multithreading': 6); ('unit-testing': 6); ('class': 5); ('algorithm': 4); ('loops': 4); ('linux': 4); ('hashmap': 4); ('java-8': 4); ('windows': 4); ('jtable': 3); ('apache-poi': 3); ('concurrency': 3); ('methods': 3); ('collections': 3); ('oop': 2); ('ssl': 2); ('jframe': 2); ('generics': 2); ('sorting': 2); ('applet': 1); ('jvm': 1)]
multithreading, 4866,3.6144677353062065,[('multithreading': 4866); ('android': 744); ('concurrency': 408); ('swing': 260); ('sockets': 226); ('spring': 98); ('performance': 82); ('javafx': 69); ('user-interface': 64); ('eclipse': 46); ('tomcat': 44); ('mysql': 44); ('servlets': 40); ('jvm': 40); ('jdbc': 35); ('hibernate': 33); ('swt': 27); ('arraylist': 27); ('exception': 27); ('c++': 27); ('spring-mvc': 24); ('jframe': 24); ('loops': 23); ('java-ee': 23); ('linux': 22); ('sql': 22); ('android-fragments': 21); ('arrays': 20); ('java-8': 20); ('collections': 20); ('database': 20); ('scala': 19); ('hashmap': 19); ('nullpointerexception': 18); ('logging': 18); ('android-activity': 18); ('algorithm': 16); ('http': 16); ('sqlite': 16); ('oop': 15); ('netbeans': 15); ('file': 15); ('object': 14); ('web-services': 14); ('jpa': 14); ('rest': 14); ('applet': 14); ('oracle': 12); ('jsp': 12); ('junit': 12); ('jboss': 11); ('jpanel': 10); ('unit-testing': 10); ('methods': 10); ('c#': 9); ('libgdx': 9); ('list': 9); ('class': 9); ('json': 9); ('hadoop': 9); ('sorting': 9); ('mongodb': 8); ('listview': 8); ('string': 8); ('image': 8); ('windows': 7); ('google-app-engine': 7); ('javascript': 6); ('xml': 6); ('serialization': 6); ('selenium': 6); ('maven': 6); ('inheritance': 6); ('apache': 5); ('jersey': 4); ('jtable': 4); ('parsing': 4); ('jsf': 3); ('selenium-webdriver': 3); ('generics': 3); ('excel': 3); ('php': 3); ('struts2': 2); ('ssl': 2); ('jar': 2); ('regex': 2); ('date': 1); ('html': 1); ('jackson': 1); ('jaxb': 1); ('android-layout': 1); ('spring-security': 1); ('intellij-idea': 1); ('gwt': 1); ('soap': 1); ('encryption': 1)]
jsp, 4548,4.023087071240106,[('jsp': 4548); ('servlets': 1221); ('spring': 546); ('spring-mvc': 485); ('javascript': 445); ('struts2': 400); ('html': 295); ('tomcat': 288); ('jquery': 259); ('java-ee': 204); ('mysql': 201); ('eclipse': 167); ('hibernate': 119); ('sql': 73); ('jdbc': 71); ('xml': 65); ('json': 63); ('maven': 54); ('database': 48); ('arraylist': 45); ('google-app-engine': 39); ('apache': 36); ('netbeans': 34); ('oracle': 32); ('jsf': 31); ('image': 27); ('arrays': 25); ('spring-security': 22); ('excel': 21); ('web-services': 19); ('date': 19); ('rest': 18); ('android': 18); ('jboss': 17); ('applet': 17); ('jpa': 17); ('intellij-idea': 16); ('file': 15); ('http': 14); ('nullpointerexception': 14); ('list': 14); ('php': 13); ('string': 13); ('multithreading': 12); ('hashmap': 11); ('exception': 10); ('jar': 10); ('logging': 9); ('regex': 9); ('swing': 7); ('collections': 7); ('jersey': 6); ('gwt': 6); ('mongodb': 5); ('parsing': 5); ('sqlite': 5); ('object': 5); ('sockets': 5); ('loops': 4); ('soap': 4); ('apache-poi': 3); ('ant': 3); ('performance': 3); ('unit-testing': 3); ('jtable': 2); ('linux': 2); ('ssl': 2); ('class': 2); ('serialization': 2); ('hadoop': 2); ('encryption': 2); ('sorting': 2); ('gradle': 1); ('algorithm': 1); ('jackson': 1); ('oop': 1); ('c++': 1); ('java-8': 1); ('methods': 1); ('windows': 1); ('junit': 1); ('swt': 1); ('generics': 1)]
